stem,crops,layout_s,recognize_s,assemble_s
newspaper_1cddf9d22ca549f3a86cf1512a3110cc_1,87,1.031,54.611,0.001
newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_2,22,0.903,17.241,0.001
newspaper_41a09cb64841567c220d8cac3c1cc193_1,93,1.010,83.524,0.001
newspaper_5e8bcc55b922fd521a667c6ef01027d5_1,66,1.001,37.757,0.001
newspaper_9eafddb83b0f7f99c42ff364b080e2c1_1,109,0.977,53.998,0.001
newspaper_c79c0c10a5df54b21bccad8f64063ffa_1,77,1.006,32.304,0.001
newspaper_e62730aaeb9b509119e0c3699ac18201_1,92,1.020,54.786,0.001
newspaper_fe5ed29024932fad071afc53807b16ba_5,26,0.860,16.588,0.001
eastmoney_6e1cdb75430fe7d7a7757754d163d1a4a8a1c2a3fca38b74a8a2e8df009f2ce0.pdf_2,11,0.891,31.263,0.001
eastmoney_c2abc680754ea4676c752cb3bda24323046ece560f8b23ce66b705887c9bcf9b.pdf_16,7,0.846,11.088,0.001
eastmoney_e480008a65ea31d8c1a5e86900788b67d07422f02dbc5296aedf9423e1a23b4e.pdf_6,15,0.864,10.610,0.001
yanbaopptmerge_2b8553b00244437fa3e502aa2d3d319ed74459a1e264a4fdd9ecc14ce46609d5.pdf_2,14,0.953,34.333,0.001
yanbaopptmerge_aec1bf4ddb8fb4996b0512e90b3bfb31c9b151919f5d7b4a4f658f4b1f762b9e.pdf_2,13,1.005,8.461,0.001
scihub_carcin%2Fbgh032.pdf_2,14,0.885,14.530,0.001
scihub_j.physe.2007.10.027.pdf_0,19,0.857,11.136,0.001
scihub_s00894-012-1568-z.pdf_2,15,0.866,18.042,0.001
yanbaor2_8072f7ea9b3083ff5e8f9bfbba591771e61115039c96fda1c8ea391a7570f098.pdf_5,15,0.862,7.095,0.000
yanbaor2_yanbaoPPT_1295,22,0.880,6.600,0.001
scihub_journal.pone.0166577.pdf_5,7,0.859,31.557,0.001
PPT_EnglishtoAmericanTransition_page_017,6,0.865,2.655,0.001
PPT_LEP power point presentation-English-FINAL-10-31-07_page_006,11,0.847,1.686,0.001
PPT_EnglishtoAmericanTransition_page_009,9,0.845,0.839,0.001
PPT_BaharMartonosi_page_007,7,0.864,1.107,0.001
PPT_LEP power point presentation-English-FINAL-10-31-07_page_015,3,0.851,0.413,0.001
PPT_CalculusReview_page_014,5,0.858,0.866,0.001
newspaper_The Times UK_0801@magazinesclubnew_page_083,64,0.884,12.755,0.001
newspaper_TheGuardianUS-2025-1-8@magazinesclubnew_page_041,51,1.349,30.518,0.001
newspaper_TheBostonGlobe-2025-1-8@magazinesclubnew_page_003,82,0.991,28.477,0.001
book_zh_GB12082006_extracted_page_8,41,0.822,6.175,0.001
"book_en_A.Concise.Introduction.to.Linear.Algebra,.Geza.Schay,.Birkhauser,.2012_page_194",21,0.869,8.570,0.001
book_en_国外数学教材-非数学专业教材-线性代数-Gilbert Strang—Linear Algebra and Its Applications 4e_0092,28,0.874,7.558,0.001
book_en_搬书匠-3246-Electronics Cookbook-2017-英文版_page_193,17,0.865,3.945,0.001
book_en_国外数学教材-非数学专业教材-线性代数-Gilbert Strang—Linear Algebra and Its Applications 4e_0035,18,0.851,30.248,0.001
